,project_id,state,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,funded_locations,funded_cai,dominant_technology,avg_download_speed,avg_upload_speed,state_num_providers
1136,CM61-BEAD-PA-202508015078,PA,0.0,90.2,18.1,5.0,L,True,1664,21,50.0,1000.0,1000.0,15
1137,CM61-BEAD-PA-202508015095,PA,0.0,67.1,10.0,5.0,L,True,709,183,40.0,1000.0,1000.0,15
1138,CM61-BEAD-PA-202508015106,PA,0.0,18.2,14.2,5.0,L,True,426,258,40.0,1000.0,1000.0,15
1139,CM61-BEAD-PA-202508015113,PA,0.0,28.9,12.4,5.0,L,True,57,1,50.0,1000.0,1000.0,15
1140,CM61-BEAD-PA-202507314932,PA,1583096.0,19.0,2.0,1.0,L,True,97,1,50.0,1000.0,1000.0,15
1141,CM61-BEAD-PA-202507314933,PA,2588978.0,54.0,2.0,1.0,L,True,266,0,50.0,1000.0,1000.0,15
1142,CM61-BEAD-PA-202507314931,PA,3679891.0,98.0,7.0,2.0,L,True,393,0,50.0,1000.0,1000.0,15
1143,CM61-BEAD-PA-202507314939,PA,6385156.0,90.0,14.0,1.0,L,True,740,3,50.0,1000.0,1000.0,15
1144,CM61-BEAD-PA-202507314930,PA,8203049.0,43.0,25.0,2.0,L,True,1000,6,50.0,1000.0,1000.0,15
1145,CM61-BEAD-PA-202507314935,PA,1549207.0,42.0,4.0,1.0,L,True,216,1,50.0,1000.0,1000.0,15
1146,CM61-BEAD-PA-202507314938,PA,477202.0,9.0,1.0,1.0,L,True,77,0,50.0,1000.0,1000.0,15
1147,CM61-BEAD-PA-202507314929,PA,5651096.0,59.0,9.0,2.0,L,True,1108,12,50.0,1000.0,1000.0,15
1148,CM61-BEAD-PA-202507314947,PA,3356950.0,99.0,14.0,5.0,L,True,274,4,50.0,1000.0,1000.0,15
1149,CM61-BEAD-PA-202507314944,PA,10133.0,136.0,19.0,1.0,L,True,1,0,50.0,1000.0,1000.0,15
1150,CM61-BEAD-PA-202507314954,PA,1343950.0,34.0,9.0,2.0,L,True,235,0,50.0,1000.0,1000.0,15
1151,CM61-BEAD-PA-202507314952,PA,1386472.0,52.0,5.0,2.0,L,True,248,16,50.0,1000.0,1000.0,15
1152,CM61-BEAD-PA-202507314941,PA,802953.0,35.0,3.0,2.0,L,True,146,2,50.0,1000.0,1000.0,15
1153,CM61-BEAD-PA-202507314937,PA,8850921.0,335.0,33.0,15.0,L,True,1769,14,50.0,1000.0,1000.0,15
1154,CM61-BEAD-PA-202507314951,PA,314651.0,7.0,6.0,2.0,L,True,64,0,50.0,1000.0,1000.0,15
1155,CM61-BEAD-PA-202507314950,PA,606680.0,22.0,2.0,2.0,L,True,129,0,50.0,1000.0,1000.0,15
1156,CM61-BEAD-PA-202507314955,PA,3645691.0,172.0,40.0,10.0,L,True,797,4,50.0,1000.0,1000.0,15
1157,CM61-BEAD-PA-202507314949,PA,8071771.0,270.0,44.0,15.0,L,True,1830,1,50.0,1000.0,1000.0,15
1158,CM61-BEAD-PA-202507314946,PA,1164293.0,41.0,11.0,5.0,L,True,280,10,50.0,1000.0,1000.0,15
1159,CM61-BEAD-PA-202507314948,PA,10075307.0,559.0,84.0,15.0,L,True,2909,8,50.0,1000.0,1000.0,15
1160,CM61-BEAD-PA-202507314940,PA,455566.0,290.0,82.0,20.0,L,True,75,4,50.0,1000.0,1000.0,15
1161,CM61-BEAD-PA-202507314945,PA,1733684.0,15.0,5.0,3.0,L,True,366,1,50.0,1000.0,1000.0,15
1162,CM61-BEAD-PA-202508015109,PA,1074372.0,27.37,11.72,0.0,L,True,136,1,50.0,1000.0,1000.0,15
1163,CM61-BEAD-PA-202507314739,PA,90640683.0,1867.0,365.0,392.0,L,True,10327,52,50.0,1000.0,1000.0,15
1164,CM61-BEAD-PA-202508015082,PA,4552859.0,0.0,0.0,7.0,L,True,468,0,72.0,699.0,249.0,15
1165,CM61-BEAD-PA-202508015091,PA,1399601.0,0.0,0.0,5.0,L,True,215,0,72.0,699.0,249.0,15
1166,CM61-BEAD-PA-202508015042,PA,64864359.0,1450.0,415.0,100.0,L,True,10730,89,50.0,1000.0,1000.0,15
1167,CM61-BEAD-PA-202508015149,PA,19383598.0,1132.0,126.0,100.0,L,True,3862,11,50.0,1000.0,1000.0,15
1168,CM61-BEAD-PA-202502074251,PA,5545296.0,0.0,0.0,31.0,L,True,2382,0,72.0,1000.0,100.0,15
1169,CM61-BEAD-PA-202502074258,PA,2004660.0,0.0,0.0,21.0,L,True,774,0,72.0,1000.0,100.0,15
1170,CM61-BEAD-PA-202502074254,PA,12397616.0,0.0,0.0,47.0,L,True,5105,0,72.0,1000.0,100.0,15
1171,CM61-BEAD-PA-202502074255,PA,10143250.0,0.0,0.0,43.0,L,True,3251,0,72.0,1000.0,100.0,15
1172,CM61-BEAD-PA-202502074260,PA,3772520.0,0.0,0.0,21.0,L,True,1480,0,72.0,1000.0,100.0,15
1173,CM61-BEAD-PA-202502074247,PA,3645132.0,0.0,0.0,25.0,L,True,1394,42,72.0,1000.0,127.11621233859398,15
1174,CM61-BEAD-PA-202502074264,PA,2170740.0,0.0,0.0,20.0,L,True,897,3,72.0,1000.0,103.01003344481605,15
1175,CM61-BEAD-PA-202508015037,PA,4281461.0,0.0,84.0,25.0,L,True,629,0,50.0,1000.0,1000.0,15
1176,CM61-BEAD-PA-202507314910,PA,8213102.0,0.0,0.0,0.0,L,False,4863,0,61.0,255.33168825827698,106.59633970799902,15
1177,CM61-BEAD-PA-202508015038,PA,1836323.0,0.0,47.0,25.0,L,True,177,1,50.0,1000.0,1000.0,15
1178,CM61-BEAD-PA-202508015034,PA,2694003.0,0.0,71.0,25.0,L,True,274,2,50.0,1000.0,1000.0,15
