,project_id,state_x,bead_support,estimated_miles_aerial_fiber,estimated_miles_buried_fiber,estimated_jobs,project_type,priority_broadband_project,n_loc_only,n_cai_only,n_both,n_total,frac_competitor_qualifying,frac_competitor_qualifying_any,frac_present_at_location,frac_present_at_location_qualifying,frac_fiber_comp,frac_cable_comp,frac_fw_comp,frac_wired_qualifying,funded_locations,technology,state_y,prov_coverage,provider_id,frn,n_blocks,n_locs,frac_tech_40,frac_tech_50,frac_tech_61,frac_tech_71,geo_n,n_counties,rucc_code_wmean,topography_z_wmean,RRS_wmean,poverty_rate_wmean,POPDEN_RUR_wmean,POPDEN_COU_wmean,no_prior_presence_frac,n_locations,nearest_mi_served_same_isp,nearest_mi_served_any,total_fiber_miles,pct_aerial,miles_per_location,pct_cai,jobs_per_location,has_incumbent,funding_per_location,log_funding
10,CM61-BEAD-CT-011-2,CT,269514.75,3.0,3.0,2.0,L,True,23,27,0,50,0.3043478260869565,1.0,0.6521739130434784,0.6086956521739131,0.0,0.08695652173913043,0.8695652173913043,0.08695652173913043,23,50.0,CT,83.90569361017367,130258.0,0003576352,17.0,23,0.0,1.0,0.0,0.0,138,1.0,4.0,0.77701,1.125,0.12753433616742968,150.438665449909,403.804688125797,0.0,23,0.20352520412124697,0.10970386489314946,6.0,0.5,0.2608695652173913,0.54,0.08695652173913043,1,11718.032608695652,9.368969517804066
11,CM61-BEAD-CT-013-2,CT,1172780.5,5.0,4.0,5.0,L,True,226,36,0,262,0.9159292035398229,1.0,0.04867256637168142,0.022123893805309738,0.08849557522123894,0.8849557522123891,0.6061946902654868,0.902654867256637,226,50.0,CT,34.811253496922504,130258.0,0003576352,32.0,226,0.0,1.0,0.0,0.0,1310,1.0,4.0,0.77701,1.125,0.12753433616742968,209.74562650144,365.025011582185,0.0,226,0.1112926992158067,0.03363519303008999,9.0,0.5555555555555556,0.03982300884955752,0.13740458015267176,0.022123893805309734,1,5189.29424778761,8.554545669694948
12,CM61-BEAD-CT-015-2,CT,993968.0,12.0,5.0,9.0,L,True,114,0,0,114,0.20175438596491227,1.0,0.23684210526315788,0.21929824561403508,0.017543859649122806,0.12280701754385966,0.5964912280701753,0.13157894736842105,114,50.0,CT,56.814324897648724,130258.0,0003576352,79.0,114,0.0,1.0,0.0,0.0,576,1.0,4.0,0.77701,1.125,0.12753433616742968,125.267254132234,226.968761039575,0.0,114,0.323348797484819,0.21232894411279649,17.0,0.7058823529411765,0.14912280701754385,0.0,0.07894736842105263,1,8719.017543859649,9.073376528811512
16,CM61-BEAD-RI-GLO001,RI,567683.0,3.0,1.0,13.0,L,True,59,0,0,59,0.7796610169491526,1.0,0.0,0.0,0.4067796610169492,0.6779661016949152,0.6440677966101696,0.7627118644067798,59,50.0,RI,0.0,,,31.0,59,0.0,1.0,0.0,0.0,339,1.0,1.0,0.01867,1.6482758620689653,0.13406583766475866,143.195689251798,1613.61267926347,1.0,59,,,4.0,0.75,0.06779661016949153,0.0,0.22033898305084745,0,9621.745762711864,9.171884925253872
17,CM61-BEAD-RI-LIC001,RI,1529580.0,36.0,5.0,0.0,L,True,552,0,0,552,0.8242753623188405,1.0,0.09057971014492755,0.0018115942028985507,0.0,0.8242753623188405,0.5163043478260869,0.8242753623188405,552,50.0,RI,9.618188716198237,131425.0,0003628971,37.0,552,0.0,1.0,0.0,0.0,3068,1.0,1.0,-0.73966,1.7391304347826086,0.08486657130173136,132.561450705522,836.1130510319229,0.0,552,0.81867315126536,0.053786128993712906,41.0,0.8780487804878049,0.07427536231884058,0.0,0.0,1,2770.978260869565,7.927316517879896
18,CM61-BEAD-RI-MID001,RI,495107.0,18.0,7.0,0.0,L,True,143,0,0,143,0.8601398601398601,1.0,0.32867132867132864,0.04195804195804196,0.12587412587412586,0.7202797202797202,0.902097902097902,0.8391608391608391,143,50.0,RI,20.419764287208075,131425.0,0003628971,35.0,143,0.0,1.0,0.0,0.0,986,1.0,1.0,-0.73966,1.7391304347826084,0.08486657130173136,132.561450705522,836.1130510319229,0.0,143,0.5088753057905909,0.027674084634328765,25.0,0.72,0.17482517482517482,0.0,0.0,1,3462.286713286713,8.14997333430089
19,CM61-BEAD-RI-PRU001,RI,3428972.0,18.0,4.0,31.0,L,True,391,0,0,391,0.0,1.0,0.0,0.0,0.0,0.0,0.21227621483375958,0.0,391,72.0,RI,0.0,,,50.0,391,0.0,0.0,0.0,1.0,1647,1.0,1.0,-0.73966,1.7391304347826086,0.08486657130173136,132.561450705522,836.113051031923,1.0,391,,,22.0,0.8181818181818182,0.056265984654731455,0.0,0.0792838874680307,0,8769.74936061381,9.07917752762401
20,CM61-BEAD-RI-HOG001,RI,168000.0,0.0,0.0,0.0,L,False,112,0,0,112,0.0,0.0,1.0,1.0,0.0,0.0,0.3392857142857143,0.0,112,61.0,RI,100.0,430076.0,0026043968,9.0,112,0.0,0.0,1.0,0.0,487,1.0,1.0,-0.73966,1.7391304347826086,0.08486657130173136,132.561450705522,836.113051031923,1.0,112,,,0.0,0.0,0.0,0.0,0.0,1,1500.0,7.313886831633462
21,CM61-BEAD-RI-WAR001,RI,425468.0,20.0,2.0,0.0,L,True,276,0,0,276,0.9818840579710144,1.0,0.11956521739130437,0.028985507246376815,0.010869565217391304,0.9818840579710144,0.9818840579710144,0.9818840579710144,276,50.0,RI,10.164590967580882,131425.0,0003628971,25.0,276,0.0,1.0,0.0,0.0,1979,1.0,1.0,-0.73966,1.4545454545454546,0.06526722417964936,147.953898598296,2104.83802590473,0.0,276,0.23357541994933878,0.009620438679871918,22.0,0.9090909090909091,0.07971014492753623,0.0,0.0,1,1541.5507246376812,7.341192639931029
22,CM61-BEAD-RI-FOS001,RI,863772.0,5.0,1.0,17.0,L,True,98,0,0,98,0.0,1.0,0.0,0.0,0.0,0.0,0.4387755102040816,0.0,98,50.0,RI,0.0,,,37.0,98,0.0,1.0,0.0,0.0,440,1.0,1.0,0.01867,1.6482758620689655,0.13406583766475866,143.195689251798,1613.61267926347,1.0,98,,,6.0,0.8333333333333334,0.061224489795918366,0.0,0.17346938775510204,0,8814.0,9.08421009483197
23,CM61-BEAD-RI-NPS001,RI,401976.0,2.0,0.0,13.0,L,True,36,0,0,36,0.8055555555555555,1.0,0.0,0.0,0.19444444444444445,0.6388888888888888,0.6944444444444444,0.7777777777777778,36,50.0,RI,0.0,,,21.0,36,0.0,1.0,0.0,0.0,215,1.0,1.0,0.01867,1.6482758620689655,0.13406583766475866,143.195689251798,1613.61267926347,1.0,36,,,2.0,1.0,0.05555555555555555,0.0,0.3611111111111111,0,11166.0,9.320718279445792
24,CM61-BEAD-RI-HLG001,RI,91134.0,1.0,0.0,13.0,L,True,32,0,0,32,0.875,1.0,0.0,0.0,0.46875,0.8125000000000001,0.84375,0.875,32,50.0,RI,0.0,,,21.0,32,0.0,1.0,0.0,0.0,221,2.0,1.0,0.018670000000000003,1.4953370860688695,0.0853937617784596,130.95831128866286,1119.7954361525187,1.0,32,,,1.0,1.0,0.03125,0.0,0.40625,0,2847.9375,7.95470139673534
25,CM61-BEAD-RI-EWG001,RI,874356.0,5.0,1.0,17.0,L,True,98,0,0,98,0.8571428571428571,1.0,0.0,0.0,0.010204081632653062,0.8367346938775508,0.9285714285714284,0.8367346938775508,98,50.0,RI,0.0,,,27.0,98,0.0,1.0,0.0,0.0,602,2.0,1.0,0.01867,1.4599962988094501,0.07469761343831989,128.58665942401203,1005.5453776081926,1.0,98,,,6.0,0.8333333333333334,0.061224489795918366,0.0,0.17346938775510204,0,8922.0,9.09638749190015
26,CM61-BEAD-RI-CHT001,RI,2140999.0,10.0,3.0,25.0,L,True,237,0,0,237,0.7594936708860759,1.0,0.0,0.0,0.03375527426160337,0.7426160337552742,0.8143459915611814,0.751054852320675,237,50.0,RI,0.0,,,80.0,237,0.0,1.0,0.0,0.0,1405,1.0,1.0,0.01867,1.2758620689655173,0.0818749294320693,168.315941436266,394.3157525974439,1.0,237,,,13.0,0.7692307692307693,0.05485232067510549,0.0,0.10548523206751055,0,9033.75105485232,9.10883364922695
